1 17
            ###########                        #########                        
            #.........#                        #.......#                        
            #.........#             ############.......#                        
            #.........###############..........#.......##############           
            #.........#........................#....................#           
            #.........#.............#..........#.......#............#           
      ########.########.............#..................#............#           
      #.........#     #.............####.#######.......#............#           
      #.........#     #.............##.........######################           
      #.........#     #####.##########.........#              ###########       
      #.........#       #......#     #.........#              #.........#       
      ########.##########......#     #.........#              #.........#       
           #...........##......#     #.........#              #.........#       
           #...........##......#     #.........#              #.........#       
           #...........##......#     #.........#  ################.######       
           #...........##......#     #.........#  #.................############
           #...........##......#  ########.########.......#.........#..........#
           #...........##......#  #...............#.......#.........#..........#
           #...........#########  #...............#.......#.........#..........#
           #...........#          #...............#.......#....................#
           #####.#######          #.......................#.........#..........#
           #.........#            #...............###################..........#
           #.........############ #...............#                 #..........#
           #.........#..........# #...............#                 ############
           #....................#####.###########.#############                 
    ########.#########...................#      #.............#                 
    #........#       #..........#........#      #.............#########         
    #........#  ######.##########........#      #.............#.......#         
    #........#  #..........#    #........#      #.....................#         
    #........#  #..........#    #........#      #.............#.......#         
    #........#  #..........#    #........#      #.............#.......#         
    #........#  #..........#    #........#      #.............#.......#         
    #........#  #..........#########.#####      #.............#.......#         
    #........#  #..........#.........#  ##########.############.#######         
    #........#  #..........#.........#  #..............#   #..........#         
    ##########  #..........#.........#  #..............#   #..........#         
                ############.........#  #..............#   #..........#         
                           #.........#  #..............#   #..........#         
                           ###########  #..............#   #..........#         
                                        ################   ############         
