1 6
    #######                    #############        
    #.....#                    #...........#        
    #.....#                #####...........#        
    #.....#                #...............#        
    #.#####                #.###...........#        
    #.#                    #.# #...........#        
    #.#                    #.# #############        
    #.#                    #.#                      
    #.####                 #.#                      
    #....#                 #.#                      
    ####.###################.#                      
       #.....................#     #################
       #.....................#     #...............#
       #.....................#######...............#
       #...........................................#
       #.....................#######...............#
       #######################     #################
