"FF ontology id","Name","Sample category"
"10000-101A1","Clontech Human Universal Reference Total RNA, pool1","tissues"
"10002-101A5","SABiosciences XpressRef Human Universal Total RNA, pool1","tissues"
"10007-101B4","Universal RNA - Human Normal Tissues Biochain, pool1","tissues"
"10010-101C1","adipose tissue, adult, pool1","tissues"
"10011-101C2","bladder, adult, pool1","tissues"
"10012-101C3","brain, adult, pool1","tissues"
"10013-101C4","cervix, adult, pool1","tissues"
"10014-101C5","colon, adult, pool1","tissues"
"10015-101C6","esophagus, adult, pool1","tissues"
"10016-101C7","heart, adult, pool1","tissues"
"10017-101C8","kidney, adult, pool1","tissues"
"10018-101C9","liver, adult, pool1","tissues"
"10019-101D1","lung, adult, pool1","tissues"
"10020-101D2","ovary, adult, pool1","tissues"
"10021-101D3","placenta, adult, pool1","tissues"
"10022-101D4","prostate, adult, pool1","tissues"
"10023-101D5","skeletal muscle, adult, pool1","tissues"
"10024-101D6","small intestine, adult, pool1","tissues"
"10025-101D7","spleen, adult, pool1","tissues"
"10026-101D8","testis, adult, pool1","tissues"
"10027-101D9","thymus, adult, pool1","tissues"
"10028-101E1","thyroid, adult, pool1","tissues"
"10029-101E2","trachea, adult, pool1","tissues"
"10030-101E3","retina, adult, pool1","tissues"
"10031-101E4","temporal lobe, adult, pool1","tissues"
"10032-101E5","postcentral gyrus, adult, pool1","tissues"
"10033-101E6","pons, adult, pool1","tissues"
"10034-101E7","parietal lobe, adult, pool1","tissues"
"10035-101E8","paracentral gyrus, adult, pool1","tissues"
"10036-101E9","occipital pole, adult, pool1","tissues"
"10037-101F1","nucleus accumbens, adult, pool1","tissues"
"10038-101F2","medulla oblongata, adult, pool1","tissues"
"10039-101F3","insula, adult, pool1","tissues"
"10040-101F4","frontal lobe, adult, pool1","tissues"
"10041-101F5","dura mater, adult, donor1","tissues"
"10042-101F6","corpus callosum, adult, pool1","tissues"
"10043-101F7","thymus, fetal, pool1","tissues"
"10044-101F8","spleen, fetal, pool1","tissues"
"10045-101F9","kidney, fetal, pool1","tissues"
"10046-101G1","heart, fetal, pool1","tissues"
"10047-101G2","tonsil, adult, pool1","tissues"
"10048-101G3","smooth muscle, adult, pool1","tissues"
"10049-101G4","pancreas, adult, donor1","tissues"
"10050-101G5","heart, adult, diseased post-infarction, donor1","tissues"
"10051-101G6","heart, adult, diseased, donor1","tissues"
"10052-101G7","aorta, adult, pool1","tissues"
"10053-101G8","blood, adult, pool1","tissues"
"10054-101G9","eye, fetal, donor1","tissues"
"10055-101H1","uterus, fetal, donor1","tissues"
"10056-101H2","spinal cord, fetal, donor1","tissues"
"10057-101H3","umbilical cord, fetal, donor1","tissues"
"10058-101H4","trachea, fetal, donor1","tissues"
"10059-101H5","tongue, fetal, donor1","tissues"
"10060-101H6","thyroid, fetal, donor1","tissues"
"10061-101H7","throat, fetal, donor1","tissues"
"10062-101H8","stomach, fetal, donor1","tissues"
"10063-101H9","temporal lobe, fetal, donor1","tissues"
"10064-101I1","small intestine, fetal, donor1","tissues"
"10065-101I2","skin, fetal, donor1","tissues"
"10066-101I3","skeletal muscle, fetal, donor1","tissues"
"10067-101I4","rectum, fetal, donor1","tissues"
"10068-101I5","lung, fetal, donor1","tissues"
"10069-101I6","diaphragm, fetal, donor1","tissues"
"10070-101I7","colon, fetal, donor1","tissues"
"10071-101I8","duodenum, fetal, donor1","tissues"
"10072-101I9","parietal lobe, fetal, donor1","tissues"
"10073-102A1","occipital lobe, fetal, donor1","tissues"
"10074-102A2","skin, adult, donor1","tissues"
"10075-102A3","lung, right lower lobe, adult, donor1","tissues"
"10076-102A4","occipital lobe, adult, donor1","tissues"
"10077-102A5","lymph node, adult, donor1","tissues"
"10078-102A6","left ventricle, adult, donor1","tissues"
"10079-102A7","left atrium, adult, donor1","tissues"
"10080-102A8","breast, adult, donor1","tissues"
"10081-102A9","adrenal gland, adult, pool1","tissues"
"10082-102B1","colon, adult, donor1","tissues"
"10083-102B2","cerebellum, adult, pool1","tissues"
"10084-102B3","brain, adult, donor1","tissues"
"10085-102B4","brain, fetal, pool1","tissues"
"10086-102B5","liver, fetal, pool1","tissues"
