#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
lang;;seda;seda-02;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;yob;yo;Yoba
;;bqy;bq;Bengkala Sign Language
;;nuv;nu;Northern Nuni
;;quy;qu;Ayacucho Quechua
;;biz;bi;Baloi
;;bcn;bc;Bali (Nigeria)
;;pmz;pm;Southern Pame
;;vwa;vw;Awa (China)
;;buj;bu;Basa-Gurmana
;;yli;yl;Angguruk Yali
;;bzc;bz;Southern Betsimisaraka Malagasy
;;aua;au;Asumboa
;;vec;ve;Venetian
;;mwg;mw;Aiklep
;;mmm;mm;Maii
;;ita;it;Italian
;;sod;so;Songoora
;;twt;tw;Turiwára
;;gke;gk;Ndai
;;bth;bt;Biatah Bidayuh
;;tou;to;Tho
;;ewe;ew;Ewe
;;cic;ci;Chickasaw
;;bdv;bd;Bodo Parja
;;ktz;kt;Ju/'hoan
;;ndt;nd;Ndunga
;;hke;hk;Hunde
;;ncc;nc;Ponam
;;jad;ja;Jahanka
;;sua;su;Sulka
;;yva;yv;Yawa
;;kkm;kk;Kiong
;;bbx;bb;Bubia
;;nml;nm;Ndemli
;;mqh;mq;Tlazoyaltepec Mixtec
;;lrz;lr;Lemerig
;;krk;kr;Kerek
;;dlg;dl;Dolgan
;;igb;ig;Ebira
;;bhy;bh;Bhele
;;arn;ar;Mapudungun
;;amn;am;Amanab
;;hka;hk;Kahe
;;msg;ms;Moraid
;;dln;dl;Darlong
;;bay;ba;Batuley
;;vel;ve;Veluws
;;kfj;kf;Kemiehua
;;wrh;wr;Wiradhuri
;;tmj;tm;Samarokena
;;sbl;sb;Botolan Sambal
;;can;ca;Chambri
;;kqq;kq;Krenak
;;dws;dw;Dutton World Speedwords
;;cmo;cm;Central Mnong
;;buc;bu;Bushi
;;pab;pa;Parecís
;;kfd;kf;Korra Koraga
;;chx;ch;Chantyal
;;bea;be;Beaver
;;juu;ju;Ju
;;tjo;tj;Temacine Tamazight
;;xsq;xs;Makhuwa-Saka
;;mrf;mr;Elseng
;;ltn;lt;Latundê
;;faa;fa;Fasu
;;bks;bk;Northern Sorsoganon
;;nru;nr;Narua
;;ttq;tt;Tawallammat Tamajaq
;;isl;is;Icelandic
;;bll;bl;Biloxi
;;arc;ar;Official Aramaic (700-300 BCE)
;;mpu;mp;Makuráp
;;juw;ju;Wãpha
;;vmy;vm;Ayautla Mazatec
;;pmb;pm;Pambia
;;myc;my;Mayeka
;;msk;ms;Mansaka
;;pns;pn;Ponosakan
;;maa;ma;San Jerónimo Tecóatl Mazatec
;;hio;hi;Tsoa
;;kac;ka;Kachin
;;wiw;wi;Wirangu
;;sax;sa;Sa
;;klw;kl;Lindu
;;lmz;lm;Lumbee
;;tcu;tc;Southeastern Tarahumara
;;ats;at;Gros Ventre
;;ngc;ng;Ngombe (Democratic Republic of Congo)
;;pmx;pm;Poumei Naga
;;kla;kl;Klamath-Modoc
;;clm;cl;Clallam
;;qvs;qv;San Martín Quechua
;;jum;ju;Jumjum
;;miq;mi;Mískito
;;lmq;lm;Lamatuka
;;pcb;pc;Pear
;;swm;sw;Samosa
;;ron;ro;Romanian
;;hpo;hp;Hpon
;;tnc;tn;Tanimuca-Retuarã
;;kmw;km;Komo (Democratic Republic of Congo)
;;tsd;ts;Tsakonian
;;osu;os;Southern One
;;nrz;nr;Lala
;;ssn;ss;Waata
;;eja;ej;Ejamat
;;atj;at;Atikamekw
;;yuu;yu;Yugh
;;frq;fr;Forak
;;bif;bi;Biafada
;;ylm;yl;Limi
;;ngy;ng;Tibea
;;wra;wr;Warapu
;;kgb;kg;Kawe
;;ota;ot;Ottoman Turkish (1500-1928)
;;oos;oo;Old Ossetic
;;liy;li;Banda-Bambari
;;xal;xa;Kalmyk
;;kbb;kb;Kaxuiâna
;;mxv;mx;Metlatónoc Mixtec
;;gei;ge;Gebe
;;avb;av;Avau
;;xsy;xs;Saisiyat
;;tpo;tp;Tai Pao
;;mkq;mk;Bay Miwok
;;nju;nj;Ngadjunmaya
;;lut;lu;Lushootseed
;;tiu;ti;Adasen
;;koo;ko;Konzo
;;adg;ad;Andegerebinha
;;muq;mu;Eastern Xiangxi Miao
;;kdt;kd;Kuy
;;bdk;bd;Budukh
;;mph;mp;Maung
;;ran;ra;Riantana
;;wne;wn;Waneci
;;bux;bu;Boghom
;;mgs;mg;Manda (Tanzania)
;;pci;pc;Duruwa
;;byg;by;Baygo
;;kul;ku;Kulere
;;bha;bh;Bharia
;;siu;si;Sinagen
;;qwh;qw;Huaylas Ancash Quechua
;;khk;kh;Halh Mongolian
;;wrx;wr;Wae Rana
;;tuh;tu;Taulil
;;dmo;dm;Kemezung
;;twy;tw;Tawoyan
;;rri;rr;Ririo
;;onj;on;Onjob
;;yah;ya;Yazgulyam
;;acs;ac;Acroá
;;msu;ms;Musom
;;rwa;rw;Rawo
;;bwd;bw;Bwaidoka
;;bmi;bm;Bagirmi
;;bsf;bs;Bauchi
;;tdi;td;Tomadino
;;prs;pr;Dari
;;mzc;mz;Madagascar Sign Language
;;awh;aw;Awbono
;;plk;pl;Kohistani Shina
;;ktv;kt;Eastern Katu
;;yso;ys;Nisi (China)
;;ybh;yb;Yakha
;;qwm;qw;Kuman (Russia)
;;kvh;kv;Komodo
;;bhg;bh;Binandere
;;nar;na;Iguta
;;blc;bl;Bella Coola
;;ldl;ld;Kaan
;;tlt;tl;Teluti
;;peg;pe;Pengo
;;nli;nl;Grangali
;;waz;wa;Wampur
;;vut;vu;Vute
;;sxw;sx;Saxwe Gbe
;;rjg;rj;Rajong
;;zeg;ze;Zenag
;;mpl;mp;Middle Watut
;;mgl;mg;Maleu-Kilenge
;;mmd;mm;Maonan
;;kbq;kb;Kamano
;;tna;tn;Tacana
;;omn;om;Minoan
;;bpz;bp;Bilba
;;uha;uh;Uhami
;;xet;xe;Xetá
;;slh;sl;Southern Puget Sound Salish
;;gup;gu;Gunwinggu
;;jow;jo;Jowulu
;;apg;ap;Ampanang
;;mbs;mb;Sarangani Manobo
;;kxk;kx;Zayein Karen
;;pel;pe;Pekal
;;mvy;mv;Indus Kohistani
;;yra;yr;Yerakai
;;sdj;sd;Suundi
;;mza;mz;Santa María Zacatepec Mixtec
;;kpz;kp;Kupsabiny
;;ybd;yb;Yangbye
;;kfr;kf;Kachchi
;;gqa;gq;Ga'anda
;;win;wi;Ho-Chunk
;;azg;az;San Pedro Amuzgos Amuzgo
;;ayk;ay;Akuku
;;xks;xk;Kumbewaha
;;sng;sn;Sanga (Democratic Republic of Congo)
;;asj;as;Nsari
;;snn;sn;Siona
;;nmx;nm;Nama (Papua New Guinea)
;;afr;af;Afrikaans
;;ide;id;Idere
;;ctz;ct;Zacatepec Chatino
;;bzj;bz;Belize Kriol English
;;snv;sn;Sa'ban
;;kyj;ky;Karao
;;tzm;tz;Central Atlas Tamazight
;;sac;sa;Meskwaki
;;ibm;ib;Agoi
