#;$id;Valeur;Label court;Label long
;;fmt/93;Virtual Reality Modeling Language;Virtual Reality Modeling Language (Version=1.0)
;;fmt/94;Virtual Reality Modeling Language;Virtual Reality Modeling Language (Version=97)
;;fmt/11;Portable Network Graphics;Portable Network Graphics (Version=1.0)
;;fmt/12;Portable Network Graphics;Portable Network Graphics (Version=1.1)
;;fmt/13;Portable Network Graphics;Portable Network Graphics (Version=1.2)
;;fmt/42;JPEG File Interchange Format;JPEG File Interchange Format (Version=1.00)
;;fmt/43;JPEG File Interchange Format;JPEG File Interchange Format (Version=1.01)
;;fmt/44;JPEG File Interchange Format;JPEG File Interchange Format (Version=1.02)
;;fmt/41;Raw JPEG Stream;Raw JPEG Stream
;;fmt/112;Still Picture Interchange File Format;Still Picture Interchange File Format (Version=1.0)
;;fmt/113;Still Picture Interchange File Format;Still Picture Interchange File Format (Version=2.0)
;;fmt/55;Microsoft Excel 2.1 Worksheet (xls);Microsoft Excel 2.1 Worksheet (xls) (Version=2)
;;fmt/56;Microsoft Excel 3.0 Worlsheet (xls);Microsoft Excel 3.0 Worlsheet (xls) (Version=3)
;;fmt/57;Microsoft Excel 4.0 Worksheet (xls);Microsoft Excel 4.0 Worksheet (xls) (Version=4S)
;;fmt/58;Microsoft Excel 4.0 Workbook (xls);Microsoft Excel 4.0 Workbook (xls) (Version=4W)
;;fmt/59;Microsoft Excel 5.0 Workbook (xls);Microsoft Excel 5.0 Workbook (xls) (Version=5)
;;fmt/60;Microsoft Excel 95 Workbook (xls);Microsoft Excel 95 Workbook (xls) (Version=7)
;;fmt/61;Microsoft Excel 97 Workbook (xls);Microsoft Excel 97 Workbook (xls) (Version=8)
;;fmt/62;Microsoft Excel 2000-2003 Workbook (xls);Microsoft Excel 2000-2003 Workbook (xls) (Version=8X)
;;fmt/134;MPEG 1/2 Audio Layer 3;MPEG 1/2 Audio Layer 3
;;fmt/39;Microsoft Word for Windows Document Microsoft;Word for Windows Document (Version=6.0/95)
;;fmt/40;Microsoft Word for Windows Document Microsoft;Word for Windows Document (Version=97-2003)
;;fmt/131;Advanced Systems Format;Advanced Systems Format
;;fmt/132;Windows Media Audio;Windows Media Audio
;;fmt/133;Windows Media Video;Windows Media Video
;;fmt/21;AutoCAD Drawing;AutoCAD Drawing (Version=1.0)
;;fmt/22;AutoCAD Drawing;AutoCAD Drawing (Version=1.2)
;;fmt/23;AutoCAD Drawing;AutoCAD Drawing (Version=1.3)
;;fmt/24;AutoCAD Drawing;AutoCAD Drawing (Version=1.4)
;;fmt/25;AutoCAD Drawing;AutoCAD Drawing (Version=2.0)
;;fmt/26;AutoCAD Drawing;AutoCAD Drawing (Version=2.1)
;;fmt/27;AutoCAD Drawing;AutoCAD Drawing (Version=2.2)
;;fmt/28;AutoCAD Drawing;AutoCAD Drawing (Version=2.5)
;;fmt/29;AutoCAD Drawing;AutoCAD Drawing (Version=2.6)
;;fmt/30;AutoCAD Drawing;AutoCAD Drawing (Version=R9)
;;fmt/31;AutoCAD Drawing;AutoCAD Drawing (Version=R10)
;;fmt/32;AutoCAD Drawing;AutoCAD Drawing (Version=R11/12)
;;fmt/33;AutoCAD Drawing;AutoCAD Drawing (Version=R13)
;;fmt/34;AutoCAD Drawing;AutoCAD Drawing (Version=R14)
;;fmt/35;AutoCAD Drawing;AutoCAD Drawing (Version=2000-2002)
;;fmt/36;AutoCAD Drawing;AutoCAD Drawing (Version=2004-2005)
;;fmt/64;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=1.0)
;;fmt/65;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=1.2)
;;fmt/66;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=1.3)
;;fmt/67;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=1.4)
;;fmt/68;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2.0)
;;fmt/69;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2.1)
;;fmt/70;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2.2)
;;fmt/71;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2.5)
;;fmt/72;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2.6)
;;fmt/73;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=R9)
;;fmt/74;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=R10)
;;fmt/75;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=R11/12)
;;fmt/76;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=R13)
;;fmt/77;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=R14)
;;fmt/78;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2000-2002)
;;fmt/79;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=2004-2005)
;;fmt/114;Windows Bitmap;Windows Bitmap (Version=1.0)
;;fmt/115;Windows Bitmap;Windows Bitmap (Version=2.0)
;;fmt/116;Windows Bitmap;Windows Bitmap (Version=3.0)
;;fmt/117;Windows Bitmap;Windows Bitmap (Version=3.0 NT)
;;fmt/118;Windows Bitmap;Windows Bitmap (Version=4.0)
;;fmt/119;Windows Bitmap;Windows Bitmap (Version=5.0)
;;fmt/37;Microsoft Word for Windows Document;Microsoft Word for Windows Document (Version=1.0)
;;fmt/38;Microsoft Word for Windows Document;Microsoft Word for Windows Document (Version=2.0)
;;fmt/1;Broadcast WAVE;roadcast WAVE (Version=0)
;;fmt/80;Drawing Interchange File Format (Binary);Drawing Interchange File Format (Binary) (Version=R10)
;;fmt/81;Drawing Interchange File Format (Binary);Drawing Interchange File Format (Binary) (Version=R11/12)
;;fmt/82;Drawing Interchange File Format (Binary);Drawing Interchange File Format (Binary) (Version=R13)
;;fmt/83;Drawing Interchange File Format (Binary);Drawing Interchange File Format (Binary) (Version=R14)
;;fmt/84;Drawing Interchange File Format (Binary);Drawing Interchange File Format (Binary) (Version=2000-2002)
;;fmt/85;Drawing Interchange File Format (Binary);Drawing Interchange File Format (Binary) (Version=2004-2005)
;;fmt/128;OpenOffice Writer;OpenOffice Writer (Version=1.0)
;;fmt/129;OpenOffice Calc;OpenOffice Calc (Version=1.0)
;;fmt/130;OpenOffice Impress;OpenOffice Impress (Version=1.0)
;;fmt/127;OpenOffice Draw;OpenOffice Draw (Version=1.0)
;;fmt/53;Rich Text Format;Rich Text Format (Version=1.8)
;;fmt/54;Drawing Interchange Binary Format;Drawing Interchange Binary Format (Version=1.0)
;;fmt/63;Drawing Interchange File Format (ASCII);Drawing Interchange File Format (ASCII) (Version=Generic)
;;fmt/111;OLE2 Compound Document Format;OLE2 Compound Document Format
;;fmt/121;DROID Signature File Format;DROID Signature File Format (Version=1.0)
;;fmt/120;DROID File Collection File Format;DROID File Collection File Format (Version=1.0)
;;fmt/95;Acrobat PDF/A - Portable Document Format;Acrobat PDF/A - Portable Document Format (Version=1a)
;;fmt/135;OpenDocument Format;OpenDocument Format (Version=1.0)
;;fmt/136;OpenDocument Text;OpenDocument Text (Version=1.0)
;;fmt/137;OpenDocument Spreadsheet;OpenDocument Spreadsheet (Version=1.0)
;;fmt/138;OpenDocument Presentation;OpenDocument Presentation (Version=1.0)
;;fmt/139;OpenDocument Graphics;OpenDocument Graphics (Version=1.0)
;;fmt/140;OpenDocument Database Format;OpenDocument Database Format (Version=1.0)
;;fmt/141;Waveform Audio (PCMWAVEFORMAT);Waveform Audio (PCMWAVEFORMAT)
;;fmt/142;Waveform Audio (WAVEFORMATEX);Waveform Audio (WAVEFORMATEX)
;;fmt/143;Waveform Audio (WAVEFORMATEXTENSIBLE);Waveform Audio (WAVEFORMATEXTENSIBLE)
;;fmt/144;Acrobat PDF/X - Portable Document Format - Exchange 1:1999;Acrobat PDF/X - Portable Document Format - Exchange 1:1999
;;fmt/145;Acrobat PDF/X - Portable Document Format - Exchange 1:2001;Acrobat PDF/X - Portable Document Format - Exchange 1:2001
;;fmt/146;Acrobat PDF/X - Portable Document Format - Exchange 1a:2003;Acrobat PDF/X - Portable Document Format - Exchange 1a:2003
;;fmt/147;Acrobat PDF/X - Portable Document Format - Exchange 2:2003;Acrobat PDF/X - Portable Document Format - Exchange 2:2003
;;fmt/148;Acrobat PDF/X - Portable Document Format - Exchange 3:2003;Acrobat PDF/X - Portable Document Format - Exchange 3:2003
;;fmt/149;JTIP (JPEG Tiled Image Pyramid);JTIP (JPEG Tiled Image Pyramid)
;;fmt/150;JPEG-LS;JPEG-LS
;;fmt/151;JPX (JPEG 2000 Extended);JPX (JPEG 2000 Extended)
;;fmt/152;Digital Negative Format (DNG);Digital Negative Format (DNG) (Version=1.1)
;;fmt/153;Tagged Image File Format for Image Technology (TIFF/IT);Tagged Image File Format for Image Technology (TIFF/IT)
;;fmt/154;Tagged Image File Format for Electronic Still Picture Imaging (TIFF/EP);Tagged Image File Format for Electronic Still Picture Imaging (TIFF/EP)
;;fmt/155;GeoTIFF;GeoTIFF
;;fmt/156;Tagged Image File Format for Internet Fax (TIFF-FX);Tagged Image File Format for Internet Fax (TIFF-FX)
;;fmt/157;Acrobat PDF/X - Portable Document Format - Exchange 1a:2001;Acrobat PDF/X - Portable Document Format - Exchange 1a:2001
;;fmt/158;Acrobat PDF/X - Portable Document Format - Exchange 3:2002;Acrobat PDF/X - Portable Document Format - Exchange 3:2002
;;fmt/159;EBCDIC-US;EBCDIC-US
;;fmt/161;SIARD (Software-Independent Archiving of Relational Databases);SIARD (Software-Independent Archiving of Relational Databases) (Version=2.0)
;;fmt/172;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=3.0)
;;fmt/173;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=4.0)
;;fmt/174;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=98)
;;fmt/175;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=2001)
;;fmt/176;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=2002)
;;fmt/177;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=2004)
;;fmt/178;Microsoft Excel for Macintosh;Microsoft Excel for Macintosh (Version=v.X)
;;fmt/179;Microsoft PowerPoint for Macintosh;Microsoft PowerPoint for Macintosh (Version=4.0)
;;fmt/180;Microsoft PowerPoint for Macintosh;Microsoft PowerPoint for Macintosh (Version=98)
;;fmt/181;Microsoft PowerPoint for Macintosh;Microsoft PowerPoint for Macintosh (Version=2001)
;;fmt/182;Microsoft PowerPoint for Macintosh;Microsoft PowerPoint for Macintosh (Version=v.X)
;;fmt/162;Microsoft Multiplan Microsoft;Multiplan (Version=4.0)
;;fmt/163;Microsoft Works Word Processor for DOS;Microsoft Works Word Processor for DOS (Version=1.05)
;;fmt/164;Microsoft Works Word Processor for DOS;Microsoft Works Word Processor for DOS (Version=1.12)
;;fmt/165;Microsoft Works Word Processor for DOS;Microsoft Works Word Processor for DOS (Version=2.0)
;;fmt/166;Microsoft Works Spreadsheet for DOS;Microsoft Works Spreadsheet for DOS (Version=1.05)
;;fmt/167;Microsoft Works Spreadsheet for DOS;Microsoft Works Spreadsheet for DOS (Version=1.12)
;;fmt/168;Microsoft Works Spreadsheet for DOS;Microsoft Works Spreadsheet for DOS (Version=2.0)
;;fmt/169;Microsoft Works Database for DOS;Microsoft Works Database for DOS (Version=1.05)
;;fmt/170;Microsoft Works Database for DOS;Microsoft Works Database for DOS (Version=1.12)
;;fmt/171;Microsoft Works Database for DOS;Microsoft Works Database for DOS (Version=2.0)
;;fmt/183;PrimeOCR;PrimeOCR (Version=3.0)
;;fmt/184;PrimeOCR;PrimeOCR (Version=3.8)
;;fmt/185;Prime OCR;Prime OCR (Version=3.9)
;;fmt/186;PrimeOCR;PrimeOCR (Version=4.0)
;;fmt/187;PrimeOCR;PrimeOCR (Version=4.2)
;;fmt/188;PrimeOCR;PrimeOCR (Version=4.3)
;;fmt/189;Microsoft Office Open XML;Microsoft Office Open XML (Version=2007)
;;fmt/190;Adobe FrameMaker;Adobe FrameMaker (Version=5.0)
;;fmt/191;Sony RAW Image File;Sony RAW Image File
;;fmt/192;Kodak Digital Camera Raw Image File;Kodak Digital Camera Raw Image File
;;fmt/193;Digital Moving Picture Exchange Bitmap;Digital Moving Picture Exchange Bitmap
;;fmt/194;FileMaker Pro Ver. 7+ Database Document;FileMaker Pro Ver. 7+ Database Document
;;fmt/195;ERDAS IMAGINE Gray-scale Bitmap Image;ERDAS IMAGINE Gray-scale Bitmap Image
;;fmt/196;InDesign Document;InDesign Document
;;fmt/197;InstallShield Compiled Rules File;InstallShield Compiled Rules File
;;fmt/198;MPEG Audio Stream, Layer II;MPEG Audio Stream, Layer II
;;fmt/199;MPEG-4 Media File;MPEG-4 Media File
;;fmt/200;Material Exchange Format;Material Exchange Format
;;fmt/201;Mathematica Notebook;Mathematica Notebook
;;fmt/202;Nikon Digital SLR Camera Raw Image File;Nikon Digital SLR Camera Raw Image File
;;fmt/203;Ogg Vorbis Codec Compressed Multimedia File;Ogg Vorbis Codec Compressed Multimedia File
;;fmt/204;RealVideo Clip;RealVideo Clip
;;fmt/205;Synchronized Multimedia Integration Language;Synchronized Multimedia Integration Language
;;fmt/206;Structured Query Language Data;Structured Query Language Data
;;fmt/207;Obsidium Project File;Obsidium Project File
;;fmt/208;Binary File;Binary File
;;fmt/209;Sound Designer II Audio File;Sound Designer II Audio File
;;fmt/210;Statistica Report File;Statistica Report File
;;fmt/211;Kodak Photo-CD;Kodak Photo-CD
;;fmt/212;Information or Setup File;Information or Setup File
;;fmt/213;ScanIt Document;ScanIt Document
;;fmt/214;Microsoft Excel for Windows;Microsoft Excel for Windows (Version=2007)
;;fmt/215;Microsoft Powerpoint for Windows;Microsoft Powerpoint for Windows (Version=2007)
;;fmt/216;Microsoft Visio for Windows;Microsoft Visio for Windows (Version=2007)
;;fmt/217;PaintShopPro Browser Cache File;PaintShopPro Browser Cache File
;;fmt/218;Microsoft FrontPage;Microsoft FrontPage
;;fmt/219;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=2.0)
;;fmt/220;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=2.0)
;;fmt/221;Microsoft Works Word Processor for Windows;Microsoft Works Word Processor for Windows (Version=2.0)
;;fmt/222;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=2.0a)
;;fmt/223;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=3.0)
;;fmt/224;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=3.0a)
;;fmt/225;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=3.0b)
;;fmt/226;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=4.0)
;;fmt/227;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=2.0a)
;;fmt/228;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=3.0)
;;fmt/229;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=3.0a)
;;fmt/230;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=3.0b)
;;fmt/231;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=4.0)
;;fmt/232;Microsoft Works Word Processor for Windows;Microsoft Works Word Processor for Windows (Version=2.0a)
;;fmt/233;Microsoft Works Word Processor for Windows;Microsoft Works Word Processor for Windows (Version=3.0)
;;fmt/234;Microsoft Works Word Processor for Windows;Microsoft Works Word Processor for Windows (Version=3.0a)
;;fmt/235;Microsoft Works Word Processor for Windows;Microsoft Works Word Processor for Windows (Version=3.0b)
;;fmt/236;Microsoft Works Word Processor for Windows;Microsoft Works Word Processor for Windows (Version=4.0)
;;fmt/237;Microsoft Office Binder File for Windows;Microsoft Office Binder File for Windows (Version=95)
;;fmt/238;Microsoft Office Binder Template for Windows;Microsoft Office Binder Template for Windows (Version=95)
;;fmt/239;Microsoft Office Binder Wizard for Windows;Microsoft Office Binder Wizard for Windows (Version=95)
;;fmt/240;Microsoft Office Binder File for Windows;Microsoft Office Binder File for Windows (Version=97-2003)
;;fmt/241;Microsoft Office Binder Template for Windows;Microsoft Office Binder Template for Windows (Version=97-2003)
;;fmt/242;Microsoft Office Binder Wizard for Windows;Microsoft Office Binder Wizard for Windows (Version=97-2003)
;;fmt/243;GPS eXchange Format;GPS eXchange Format
;;fmt/244;Keyhole Markup Language;Keyhole Markup Language
;;fmt/245;Structured Data Exchange Format;Structured Data Exchange Format
;;fmt/246;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=4.0a)
;;fmt/247;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=4.0a)
;;fmt/248;Microsoft Works Word Processor Windows;Microsoft Works Word Processor Windows (Version=4.0a)
;;fmt/249;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=4.5)
;;fmt/250;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=4.5)
;;fmt/251;Microsoft Works Word Processor Windows;Microsoft Works Word Processor Windows (Version=4.5)
;;fmt/252;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=4.5a)
;;fmt/253;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=4.5a)
;;fmt/254;Microsoft Works Word Processor Windows;Microsoft Works Word Processor Windows (Version=4.5a)
;;fmt/255;DjVu File Format;DjVu File Format
;;fmt/256;Microsoft Works Database for Windows;Microsoft Works Database for Windows (Version=2000)
;;fmt/257;Microsoft Works Spreadsheet for Windows;Microsoft Works Spreadsheet for Windows (Version=2000)
;;fmt/258;Microsoft Works Word Processor Windows;Microsoft Works Word Processor Windows (Version=2000)
;;fmt/259;Microsoft Works Database for DOS;Microsoft Works Database for DOS (Version=3)
;;fmt/260;Microsoft Works Database for DOS;Microsoft Works Database for DOS (Version=3a)
;;fmt/261;Microsoft Works Database for DOS;Microsoft Works Database for DOS (Version=3b)
;;fmt/262;Microsoft Works Spreadsheet for DOS;Microsoft Works Spreadsheet for DOS (Version=3)
;;fmt/263;Microsoft Works Spreadsheet for DOS;Microsoft Works Spreadsheet for DOS (Version=3a)
;;fmt/264;Microsoft Works Spreadsheet for DOS;Microsoft Works Spreadsheet for DOS (Version=3b)
;;fmt/265;Microsoft Works Word Processor DOS;Microsoft Works Word Processor DOS (Version=3)
;;fmt/266;Microsoft Works Word Processor DOS;Microsoft Works Word Processor DOS (Version=3a)
;;fmt/267;Microsoft Works Word Processor DOS;Microsoft Works Word Processor DOS (Version=3b)
;;fmt/268;Microsoft Works Database for Macintosh;Microsoft Works Database for Macintosh (Version=3)
;;fmt/269;Microsoft Works Database for Macintosh;Microsoft Works Database for Macintosh (Version=4)
;;fmt/270;Microsoft Works Spreadsheet for Macintosh;Microsoft Works Spreadsheet for Macintosh (Version=3)
;;fmt/271;Microsoft Works Spreadsheet for Macintosh;Microsoft Works Spreadsheet for Macintosh (Version=4)
;;fmt/272;Microsoft Works Word Processor Macintosh;Microsoft Works Word Processor Macintosh (Version=3)
;;fmt/273;Microsoft Works Word Processor Macintosh;Microsoft Works Word Processor Macintosh (Version=4)
;;fmt/274;SPSS Output File (spv);SPSS Output File (spv)
;;fmt/275;Microsoft Access Database;Microsoft Access Database (Version=2007)
;;fmt/276;Acrobat PDF 1.7 - Portable Document Format;Acrobat PDF 1.7 - Portable Document Format (Version=1.7)
;;fmt/277;ESRI Arc/View Shapefile Index;ESRI Arc/View Shapefile Index
;;fmt/278;Internet Message Format;Internet Message Format
;;fmt/279;FLAC (Free Lossless Audio Codec);FLAC (Free Lossless Audio Codec)
;;fmt/280;LaTeX (Master document);LaTeX (Master document)
;;fmt/281;LaTeX (Subdocument);LaTeX (Subdocument)
;;fmt/282;netCDF-3 Classic;netCDF-3 Classic
;;fmt/283;netCDF-3 64-bit;netCDF-3 64-bit
;;fmt/284;Gridded Binary;Gridded Binary (Version=1.0)
;;fmt/285;Gridded Binary;Gridded Binary (Version=2.0)
;;fmt/286;HDF5;HDF5 (Version=1.0)
;;fmt/287;HDF5;HDF5 (Version=2.0)
;;fmt/288;Microsoft Front Page Server Extension Configuration;Microsoft Front Page Server Extension Configuration
;;fmt/289;WARC;WARC
;;fmt/290;OpenDocument Text;OpenDocument Text (Version=1.1)
;;fmt/291;OpenDocument Text;OpenDocument Text (Version=1.2)
;;fmt/292;OpenDocument Presentation;OpenDocument Presentation (Version=1.1)
;;fmt/293;OpenDocument Presentation;OpenDocument Presentation (Version=1.2)
;;fmt/294;OpenDocument Spreadsheet;OpenDocument Spreadsheet (Version=1.1)
;;fmt/295;OpenDocument Spreadsheet;OpenDocument Spreadsheet (Version=1.2)
;;fmt/296;OpenDocument Graphics;OpenDocument Graphics (Version=1.1)
;;fmt/297;OpenDocument Graphics;OpenDocument Graphics (Version=1.2)
;;fmt/298;Autodesk Animator Pro FLIC;Autodesk Animator Pro FLIC
;;fmt/299;Autodesk Animator (FlicLib);Autodesk Animator (FlicLib)
;;fmt/300;ChiWriter Document;ChiWriter Document (Version=4)
;;fmt/301;Computer Graphics Metafile ASCII;Computer Graphics Metafile ASCII (Version=3)
;;fmt/302;Computer Graphics Metafile ASCII;Computer Graphics Metafile ASCII (Version=4)
;;fmt/303;Computer Graphics Metafile (Binary);Computer Graphics Metafile (Binary) (Version=1)
;;fmt/304;Computer Graphics Metafile (Binary);Computer Graphics Metafile (Binary) (Version=2)
;;fmt/305;Computer Graphics Metafile (Binary);Computer Graphics Metafile (Binary) (Version=3)
;;fmt/306;Computer Graphics Metafile (Binary);Computer Graphics Metafile (Binary) (Version=4)
;;fmt/307;Quicken Interchange Format;Quicken Interchange Format
;;fmt/308;Quicken Data Format;Quicken Data Format
;;fmt/309;Open Financial Exchange;Open Financial Exchange (Version=1.02)
;;fmt/310;Open Financial Exchange;Open Financial Exchange (Version=1.03)
;;fmt/311;Open Financial Exchange;Open Financial Exchange (Version=1.6)
;;fmt/312;Open Financial Exchange;Open Financial Exchange (Version=2.0.3)
;;fmt/313;Open Financial Exchange;Open Financial Exchange (Version=2.1.1)
;;fmt/314;Play SID Audio;Play SID Audio (Version=1)
;;fmt/315;Play SID Audio;Play SID Audio (Version=2)
;;fmt/316;Real SID Audio;Real SID Audio
;;fmt/317;Macromedia Director;Macromedia Director (Version=Macintosh)
;;fmt/318;Secure DjVU;Secure DjVU
;;fmt/319;ESRI Spatial Index File;ESRI Spatial Index File
;;fmt/320;ESRI Shapefile Projection (Well-Known Text) Format;ESRI Shapefile Projection (Well-Known Text) Format
;;fmt/321;ESRI Shapefile Header Index;ESRI Shapefile Header Index
;;fmt/322;Portable Form File;Portable Form File
;;fmt/323;Extended Module Audio File;Extended Module Audio File
;;fmt/324;EndNote Style File;EndNote Style File
;;fmt/325;EndNote Library;EndNote Library
;;fmt/326;EndNote Connection File;EndNote Connection File
;;fmt/327;EndNote Filter File;EndNote Filter File
;;fmt/328;EndNote Import File;EndNote Import File
;;fmt/329;Shell Archive Format;Shell Archive Format
;;fmt/330;Peak Graphical Waveform File;Peak Graphical Waveform File
;;fmt/331;Autorun Configuration File;Autorun Configuration File
;;fmt/332;ESRI Arc/View Project;ESRI Arc/View Project (Version=3.x)
;;fmt/333;Chemical Markup Language;Chemical Markup Language
;;fmt/334;Crystallographic Information Framework;Crystallographic Information Framework
;;fmt/335;Dreamweaver Lock File;Dreamweaver Lock File
