;Adipocyte - omental;Adipocyte - perirenal;Adipocyte - subcutaneous;Alveolar Epithelial Cells;Amniotic Epithelial Cells;amniotic membrane cells;Anulus Pulposus Cell;Astrocyte - cerebellum;Astrocyte - cerebral cortex;Basophils;Bronchial Epithelial Cell;Cardiac Myocyte;CD133+ stem cells - adult bone marrow derived;CD133+ stem cells - cord blood derived;CD14+ monocyte derived endothelial progenitor cells;CD14+ Monocytes;CD14+ CD16- Monocytes;CD14+ CD16+ Monocytes;CD14- CD16+ Monocytes;CD19+ B Cells;CD34 cells differentiated to erythrocyte lineage;CD34+ Progenitors;CD34+ stem cells - adult bone marrow derived;CD4+ T Cells;CD4+CD25+CD45RA- memory regulatory T cells;CD4+CD25+CD45RA+ naive regulatory T cells;CD4+CD25-CD45RA- memory conventional T cells;CD4+CD25-CD45RA+ naive conventional T cells;CD8+ T Cells;Chondrocyte;chorionic membrane cells;Ciliary Epithelial Cells;common myeloid progenitor CMP;Corneal Epithelial Cells;Dendritic Cells - monocyte immature derived;Dendritic Cells - plasmacytoid;Endothelial Cells - Aortic;Endothelial Cells - Artery;Endothelial Cells - Lymphatic;Endothelial Cells - Microvascular;Endothelial Cells - Thoracic;Endothelial Cells - Umbilical vein;Endothelial Cells - Vein;Eosinophils;Esophageal Epithelial Cells;Fibroblast - Aortic Adventitial;Fibroblast - Cardiac;Fibroblast - Choroid Plexus;Fibroblast - Conjunctival;Fibroblast - Dermal;Fibroblast - Gingival;Fibroblast - Lung;Fibroblast - Lymphatic;Fibroblast - Mammary;Fibroblast - Periodontal Ligament;Fibroblast - Pulmonary Artery;Fibroblast - skin;Fibroblast - Villous Mesenchymal;gamma delta positive T cells;Gingival epithelial cells;granulocyte macrophage progenitor;Hair Follicle Dermal Papilla Cells;Hair Follicle Outer Root Sheath Cells;Hepatic Sinusoidal Endothelial Cells;Hepatic Stellate Cells (lipocyte);Hepatocyte;immature langerhans cells;Intestinal epithelial cells (polarized);Iris Pigment Epithelial Cells;Keratinocyte - epidermal;Keratinocyte - oral;Keratocytes;Lens Epithelial Cells;Macrophage - monocyte derived;Mallassez-derived cells;Mammary Epithelial Cell;Mast cell;mature adipocyte;Melanocyte;Meningeal Cells;mesenchymal precursor cell - adipose;mesenchymal precursor cell - bone marrow;mesenchymal precursor cell - cardiac;Mesenchymal stem cells - adipose;Mesenchymal Stem Cells - amniotic membrane;Mesenchymal Stem Cells - bone marrow;Mesenchymal stem cells - hepatic;Mesenchymal stem cells - umbilical;Mesenchymal Stem Cells - Vertebral;Mesenchymal Stem Cells - Wharton Jelly;Mesothelial Cells;migratory langerhans cells;Multipotent Cord Blood Unrestricted Somatic Stem Cells;Myoblast;nasal epithelial cells;Natural Killer Cells;Neural stem cells;Neurons;Neutrophil;Nucleus Pulposus Cell;Olfactory epithelial cells;Oligodendrocyte - precursors;Osteoblast;Pancreatic stromal cells;Pericytes;Perineurial Cells;Placental Epithelial Cells;Preadipocyte - breast;Preadipocyte - omental;Preadipocyte - perirenal;Preadipocyte - subcutaneous;Preadipocyte - visceral;promyelocytes;Prostate Epithelial Cells;Prostate Stromal Cells;Renal Cortical Epithelial Cells;Renal Epithelial Cells;Renal Glomerular Endothelial Cells;Renal Mesangial Cells;Renal Proximal Tubular Epithelial Cell;Retinal Pigment Epithelial Cells;salivary acinar cells;Schwann Cells;Sebocyte;Sertoli Cells;Skeletal Muscle Cells;Skeletal muscle cells differentiated into Myotubes;Skeletal Muscle Satellite Cells;Small Airway Epithelial Cells;Smooth muscle cells - airway;Smooth Muscle Cells - Aortic;Smooth Muscle Cells - Bladder;Smooth Muscle Cells - Brachiocephalic;Smooth Muscle Cells - Brain Vascular;Smooth Muscle Cells - Bronchial;Smooth Muscle Cells - Carotid;Smooth Muscle Cells - Colonic;Smooth Muscle Cells - Coronary Artery;Smooth Muscle Cells - Esophageal;Smooth Muscle Cells - Internal Thoracic Artery;Smooth Muscle Cells - Intestinal;Smooth Muscle Cells - Prostate;Smooth Muscle Cells - Pulmonary Artery;Smooth Muscle Cells - Subclavian Artery;Smooth Muscle Cells - Tracheal;Smooth Muscle Cells - Umbilical artery;Smooth Muscle Cells - Umbilical Vein;Smooth Muscle Cells - Uterine;Synoviocyte;tenocyte;Trabecular Meshwork Cells;Tracheal Epithelial Cells;Urothelial cells;Adipocyte - breast, donor1;Adipocyte - breast, donor2
chr1:856539-856757;0.191441228;0;0;0;0;0;0;0.066988804;0;0;0;0.261012938;0.290016883;0;0;0;0;0;0;0;0;0;0;0.007320069;0;0;0;0;0;0.157170263;0;0.223205202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.042537553;0.060002095;0;0;0;0;0;0.010715763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.044967663;0;0;0;0.075373681;0;0.037859183;0;0;0;0;0;0;0;0.031080077;0;0;0;0;0;0;0;0;0;0.050273587;0;0.074849426;0;0.11249526;0;0;0.121762543;0.251692206;0;0.048691;0;0;0.028358488;0.042282935;0;0.034359508;0;0;0;0.079181425;0;0;0;0;0.07576333;0;0.046561469;0;0;0;0;0;0;0;0;0.08889355;0;0.04136571;0;0;0.044877116;0;0;0;0;0;0;0;0;0;0;0;0.17754372;0.402021125
chr1:858256-858648;0.416272737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.164061943;0;0.055926556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01036534;0;0;0;0;0;0.08867246;0;0;0;0;0;0;0;0.481148817;0;0;0;0;0;0;0;0.037581798;0;0;0;0.009343632;0;0;0;0;0;0.037859183;0;0;0;0;0;0;0.124835592;0;0;0;0.065435551;0;0;0.647717671;0;0;0;0.230276606;0;0;0;0;0;0;0.137111078;0.125567697;0;0;0;0;0;0.074583599;0;0;0;0.325155196;0;0.557405682;0;0;0;0;0;0.07045027;0.027522832;0;0;0;1.196016527;0;0;0;0;0.038245025;0;0;0;0;0.044877116;0;0.180443133;0;0;0;0;0.066281121;0;0;0;0;0.17754372;0.201010563
chr1:1294735-1294982;0.09216046;1.716503125;0;0.229861117;0;0.097053366;0;0.215128877;0;0;0;0;0;0;0;0.002819147;0.036648911;0;0;0;0;0;0;0.033119838;0.066174069;0;0.056559226;0.026305974;0.060090698;0.441982341;0.029819027;0.304496883;0;0;0.031470289;0;0;0;0;0;0;0;0;0;0;0.179797324;0;0.24930899;0;0;0.200116447;0;0;0;0.1237566;0;0.331240595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.038771152;0;0;0;0;0;0;0.074256871;0.301494726;0;0.111659103;0;0;0.364171413;0;0.128662969;0;0;0.384361176;0;1.114876286;0.151765427;0;0;0;0;0;0.040278329;0.238115977;0;0.733666173;0.084459056;0.192800548;0;0.541748632;0.243525086;0.041855899;0;0.747595031;0.192498835;0;0;0;0;0;0;0.088715557;0;0;0;0;0;0.785341089;0.835762553;0.21135081;0.163765628;0;0.187773222;0.170803211;0;0;0;0;0;0;0.06687719;0.04136571;0;0;0.134335588;0;0.541329399;0;0.14506831;0;0;0;0.147309213;0;0;0;0.17754372;0.201010563
chr1:1295535-1296332;0.607713966;0;0.160509;0;0.229322649;0.525247636;0.122033124;0.52705199;0.256299312;0;0;0;0;0;0;0.063318956;0;0;0;0;0;0;0;0.011180261;0.018151982;0;0;0;0.012630125;0.282411984;0.664522603;0.652408251;0;0;0.031470289;0;0;0;0;0;0;0;0;0;0;0.246802507;0.281202678;0.149585394;0.085542949;0.178380376;0.777871991;1.84913203;0;0.115586728;0.403719407;0.111962028;1.22914513;0.068285525;0;0.094187572;0;1.129349607;0.221721244;0;0;0;0;0.116455792;0;0.103568814;0;0;0.151516545;0.048715174;0;0;0.062165188;0;0.010238086;0.111385306;0.247831585;0.443141203;0.148899961;0.957482538;0.129186175;0.107175927;0.311625856;0.514651875;0.263909913;0.249671185;0;0.063144895;0.116796342;0.623826274;0;0.041178555;0.123332909;0.207540079;0;0.283850305;0.643775227;0;1.580123644;0.42229528;0.176762109;0.057688241;1.480501634;1.14190849;0.17718692;1.466901169;0.484005258;0.142958811;0;0.306388819;0.311480323;0.221808356;0;0.374625939;0.251293155;0.144449801;0.238466377;0.183375927;0.169803372;0.189865334;0;1.673727723;0.556210106;0.096794159;0.085654195;0.254856495;0.998859851;1.196016527;0.169743342;0;0.251677941;0.934204103;0.193179793;0.133754381;0.404538233;0.422792178;0.197784935;0.178916944;0.152645573;0.685289514;0.235880979;0.208558087;0.032438862;0.172091573;0.198843362;0.675745433;0.114878493;0;0;0.17754372;0.402021125
chr1:1343359-1343768;0.370192507;0;0.0802545;0;1.154323425;0;0;0;0;0;0.033779378;0;0;0;0;0.044213358;0;0;0.153280844;0;0;0;0;0.02431739;0.03866769;0.046703904;0.024056659;0;0;0;0.029819027;0.03056143;0;0.240018468;0;0;0;0;0.083813117;0;0;0.065882851;0;0;0;0;0;0;0;0.023151021;0.059662688;0;0;0;0.045734655;0;0.021117327;0;0.122340367;0;0;0;0;0;0;0;0.109244215;0;0;0;0.090491578;0;0;0.048715174;0;0;0.107042824;0.060624481;0;0.024168521;0;0;0.037859183;1.078282776;0;0;0;0.128662969;0;0;0.097373489;0.053440216;0;0;0.045612001;0.15159954;0.647717671;0;0;0.163015319;0.093516731;0;0;0.084459056;0;0.057688241;0.099251093;0;0.135331021;0;0;0.102242347;0;0.145566308;0.142542268;0.037801073;0;0;0;0;0.080103528;0;0.084901686;0;1.835556412;0.198856208;0.029136965;0;0.032134347;0;0.246608627;0;0;0;0;0;0;0;0.08273142;0;0;0.044877116;0.050881858;0;0;0;0;0;0;0.116908897;1.561403707;0;0;0.17754372;0.201010563
chr1:1814762-1815124;0.416272737;3.433006251;0.160509;0;0;0.278286234;0.183049686;0.244934309;0.043709167;0.63815273;0.438592197;1.590963929;0;0;0.298593501;0.435166328;0.052111826;0;0.249742266;0.199293845;0;0.276806564;0.225768258;0.17051657;0.19185806;0.076690486;0.065022819;0.050405609;0.381028675;0.323639662;0.34224219;0.089086139;0;0.870336037;0.074206124;0.357756521;0.271853311;0.226633091;0.283552555;0.402193055;0.397159197;0.05829957;0.310742516;0.876171191;0;0.133583239;0.05139888;0;0.11529882;0.116491737;0.254613072;0;0.535884787;0;0.16527165;0;0.133436948;0;0.122340367;0.175881989;0;0;0.349946108;0.242373906;0.271919396;0.503709361;0.109244215;0.232911584;0.16509925;0.035721547;0;0.081582591;0;0.097430347;0.054125238;0.093824615;0.185881657;0.131800351;0.2473501;0.037128435;0;0.080808775;0.071881473;0.957482538;0.129186175;0.083427047;0.045764368;0.128662969;0;0.124835592;0.062160155;0.11658511;0.116796342;0.242912757;0;0.657633772;0.123332909;0.207540079;0.068677584;0;0.08832227;0;0.284569615;0;0.085603359;0.105845493;0.297753278;0.274222156;0.532674384;0;0.057241495;0;0;0.130072524;0.237810464;0.037801073;0;0.280165595;1.070628209;0.072224901;0;0;0.08570758;0.293003192;0;0.449863659;0;0.198401291;0.123905396;0.076878329;0.64930893;0;0.183885252;0.123479992;0;10.76474209;0.223728472;0.57693433;0;0.34921166;0.197784935;0.307654777;0.364789995;0.361395246;0.424015319;0.276552718;0.047058741;0;0.066281121;0;0;0.467906316;0.104814136;0.532631161;0.603031688
chr1:1840449-1840835;0.884195346;0.858251563;1.575179638;2.097088896;0.345170298;0.64747551;0.122033124;1.512255405;1.362748104;0.330622931;2.860244592;0.04233122;1.740101298;0;0.467527399;0.473742851;0.863706388;1.036475095;2.068073446;1.185120457;0.107357118;0.648565942;0.451536517;1.521167315;0.989556958;2.171713911;1.357109341;1.757147958;0.88531779;1.42372307;0.446834327;1.167119575;0;0.477521795;0.319355589;2.015847909;0.881112843;1.001853091;0.444284944;0.573430284;0.182102884;0.315414574;2.489742399;2.165452868;1.641911798;0.442331914;1.38062062;0.149585394;0.487226487;0.725688946;1.439977843;1.693088835;0.471461279;0;0.766623904;0.111962028;1.04722825;0.238966885;1.889499358;0.491828475;1.686109678;4.515017461;0.793388595;2.002393914;0.755316751;1.151761622;4.089098584;0.465823167;0.16509925;0.274984896;0.090491578;0.892418411;0.192666405;0.515339851;0.362783301;0.990720823;1.530693697;0.970537695;1.777235066;0.295276174;1.207596692;0.888284351;0.553822486;4.716987157;0.516744701;0.947832242;0.357390224;1.460407628;0.527819826;0.249671185;0.513814267;0.223189089;1.582061655;1.100951901;0.611823933;2.255242893;0;0.473683507;3.434978991;0.992421984;1.286749196;0;1.573255901;0.591213393;1.574450129;0.586915706;2.102734633;0.929080475;1.95184018;0;1.503740555;0.21873816;1.254472106;0.454109045;0.82530679;0.448614794;0.291001326;0.779970458;0.50258631;0.499991694;0.300650052;1.000257931;0.93875391;2.101827389;0;2.993433872;2.464118347;0.843608247;0.904935242;0.650545969;1.643063049;2.392033055;0.545244695;0.654783234;0.541629949;4.626993693;0.931204245;0.643811521;0.818195334;0.618167407;0.593354806;0.53778599;0.517435568;1.659008236;0.076598622;0.988442075;0.97041424;1.878379345;0.441033979;1.37764693;0.3545959;2.027684491;0.322714895;1.420349764;1.206063375
chr1:2171824-2171946;0.04608023;0;0.809816077;0;0;0;0;0;0.084440489;1.340956796;0;0;0.870050649;0;0;0.957811634;0;0;0.065177778;0.048910107;0;4.445008779;0;0.148930677;0.121161187;0.053528933;0.103839659;0.140181607;0.137937933;0.095397308;0.238101136;0.086487986;0;0;0;0.078263123;0;0;0;0;0;0;0;15.18314518;0;0.04115507;0;0;0.171085899;0;0.056370928;0;0;0;0.027369673;0;0;0;0;0;0;0;0;0;0;0.189334858;0;0;0;0;0;0;0.077542303;0;0;0;0.124583484;1.6624236;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043459083;0;0;0;0.606670942;0;0;1.248397885;0;0.050273587;0;0;0;0;0;0;0;0.219599631;0;0.057241495;0;0.627236053;0;0.042282935;0;0;0;0.088715557;0;0.205392981;0;0;0;0;0;0;0;0;0;0.151610832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17754372;0.80404225
chr1:2177615-2177829;0.324112277;1.716503125;0;0.540277567;0.086292574;0.100128527;0;0.200966411;0.043709167;2.056066688;0.240319118;0;0;0;0;2.024849098;0.612362291;0.276306069;0.51306387;0.119060678;0.107357118;3.78839096;0.194907589;0.030982444;0.020515708;0;0;0.024099635;0.122176307;0.416629514;0;0;0;0;0.513509436;0.391315615;0.422108454;0;0;0;0.182102884;0;0;10.00104337;0;0.04115507;0.026854117;0;0;0.228219099;0.236967357;0.078021597;0.300154148;0;0.157561213;0;0.105119352;0.068285525;0.367021101;0.270069561;0.42152742;0;0;0;0;0.189334858;0;0;0.330198501;0;0;0;0.075163595;0.227242161;0.246526612;0.057107503;0.424922657;0;0;0.061296956;0;0;0.07379992;0.200995178;0;0.347987158;0.045764368;0;0;0.124835592;0.093240232;0.043459083;0;0.046606105;0.041154655;0.597159447;0;0.253970565;1.66417456;0;0.157389193;0;0.180064007;0;0.085603359;0.057688241;0;0.121762543;0.196713569;0;0.136070134;0.1049573;0;0;0;0;0.476449564;0;0;0.155541103;0;0.065169479;0.169803372;0;0;0.022643178;0;0.027522832;0;0.040943351;0.151610832;0;0.355130297;0;0;0;0;0.205986908;0;0;0;0;0.050881858;0.180443133;0.025532874;0.494973954;0.141176222;0;0;0.277296141;0;0.312864086;0;0.17754372;0.201010563
chr1:2245775-2246116;0.660914504;2.574754688;0;0;0.229322649;0.625376163;0.163042853;0.040575635;0.168880978;0;0.130185289;0.04233122;0.290016883;0;0;0.071781094;0.036648911;0;0;0;0;0.648565942;0;0;0;0;0;0;0;0.09610159;0.163779109;0.215410745;0;0;0;0;0;0;0.199739438;0.076985275;0;0.102615917;0.504064993;0;0;0.046214085;0.271823471;0.049861798;0.085542949;0.135878269;0.189325507;0.078021597;0;0;0.323778478;0;0.151028845;0.068285525;0;0.094187572;0;0;0;0.462549852;0.481148817;0;0;0.232911584;0.495297751;0;0.361966314;0;0.617553285;0;0.054125238;0.18764923;0.475992258;0.205457639;0;0.024168521;0.048542111;0;0.255426691;0;0;0.382136056;0.207428818;0.581783283;0.527819826;0.124835592;0;0.043459083;0;0;0.082309309;0.06924243;0.246665817;0;0;0.080556657;0.251714851;0.545104074;0.060021336;0.337836224;0.128533699;0.115376483;1.440688985;0.258873621;0.335404004;0;0.250553123;0.038001511;0;0.171533297;0.20642354;0.189005365;0.034359508;0;0.576448351;0.144449801;0;0;0.08570758;0.189865334;0;0.193850337;0.029136965;0.093122939;0.061952698;0.239821681;0;1.196016527;0.061295084;0.103155636;0.125838971;0.774052805;0.116689743;0.51005714;0.280441102;0.116082744;0.593354806;0.089458472;0.050881858;0.143960114;0.051065748;0.050037583;0.064877724;0.112289722;0.066281121;0;0.249677827;0.654512917;0.10657833;0.355087441;0.201010563
