;celltypetarget2_donor1;celltypetarget2_donor2;celltypetarget2_donor3;celltype13_donor1;celltype13_donor2;celltype14_donor1;celltype15_donor1;celltype15_donor2;celltype15_donor3;celltype16_donor1;celltype16_donor2;celltype17_donor1;celltype17_donor2;celltype18_donor1;celltype19_donor1;celltype19_donor2;celltype19_donor3;celltype20_donor1;celltype20_donor2;celltype20_donor3;celltype20_donor4;celltype20_donor5;celltype21_donor1;celltype21_donor2;celltype22_donor1;celltype22_donor2;celltype23_donor1;celltype23_donor2
chr10:100027943..100027958,-;13.94305383;8.84544495;21.26843664;0.103602743;0;0;0;0;0.055994043;0;0;0;3.734066359;0.099200152;0;0;0;0.162868092;0;0.04249826;0;0;0;0;0;0.631034694;0;0.048260436
chr10:100174900..100174956,-;6.337751741;0.982827217;5.907899067;0;0;0;0;0;0;0.09687798;0.014428599;0;0.931457985;0;0;0;0;0.162868092;0;0;0;0;0;0;0;0;0;0.107947423
chr12:109548967..109549024,+;1.267550348;0.982827217;5.31710916;0.067019315;0;0;0;0;0;0;0;0.062672474;2.887547019;0;0;0;0;0.162868092;0;0;0;0;0;0;0;0.054521798;0;0
chr12:109554241..109554255,+;98.86892716;31.45047093;148.8790565;0;0;0;0;0;0;0;0;0;0.676965878;0;0.049751601;0;0;0;0;0;0;0;0;0;0;0;0;0
chr12:109568972..109568988,+;29.15365801;5.8969633;5.907899067;0.167548287;0.925884452;0;0;0;0.094516731;0;0;0;0;0.024446095;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr12:109569139..109569148,+;12.67550348;8.84544495;9.452638507;5.08551195;10.55508275;11.58294689;18.80877074;4.210607383;3.480125863;10.47965467;3.563016537;15.52133679;8.539153627;18.43007373;12.02210224;8.064293631;15.59975675;11.13295168;15.5009241;13.04570415;8.733748924;39.92845264;13.62075056;24.69089771;38.29720222;0.337958667;6.969923399;12.58353246
chr5:41870631..41870644,-;12.67550348;13.75958103;17.13290729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr5:41904412..41904426,+;34.2238594;39.31308867;83.89216675;0;0;0;0;0;0;0.029852841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr5:41904431..41904469,+;7.605302089;3.931308867;14.76974767;0.1767696;0.648119116;1.257140322;0.777796997;0.485793783;0.386802603;2.321115512;0.102637537;0.597754186;0.637299216;2.441944318;2.651932557;1.201890323;1.158602826;0.862798057;1.306012486;1.772886402;1.081160244;3.662946299;2.937808944;0.646358579;0.748150759;0;0.694122107;1.851170237
chr5:41919113..41919131,+;1.267550348;0.982827217;1.181579813;0.405189661;1.388826677;0;0;0.049543721;0.415698522;0.285441294;0.18787829;0;0.017461245;0;0;0;0;0;0.132969058;0;0;0;0;0;0;0;0;0
